event_id,n_detections,frame_start,frame_end,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_area_Mm2,total_area_km2,mean_area_km2,original_cluster_id
41,37,11,48,38,380.0,1530.2241286336875,1239.8282433385375,0.9967480463659594,3.4667664693297784,1527.0,1233.5882352941176,1532.3333333333335,1244.3333333333333,6.333333333333485,11.74509803921569,2660.26123046875,1543.3639212943413,3.281555907927931,0.0886907002142684,3281555.9079279313,88690.7002142684,40
42,12,11,23,13,130.0,1935.2461233211234,1624.3589641839642,2.7621951897024917,1.7082059509349818,1930.9,1622.0,1939.0,1628.0,9.099999999999909,7.0,1668.272705078125,1102.392837524414,1.3001595311613414,0.10834662759677845,1300159.5311613414,108346.62759677845,41
43,9,12,20,9,90.0,661.6111111111111,135.11507936507937,1.2196943555611193,1.6056675572355512,660.0,133.5,664.0,139.0,5.0,6.5,942.930908203125,890.9440375434028,0.2971810548756343,0.03302011720840381,297181.05487563426,33020.11720840381,42
44,3,12,14,3,30.0,54.27777777777778,177.11111111111111,0.6136311676215145,0.15713484026368169,53.5,177.0,55.0,177.33333333333334,2.5,1.3333333333333428,1095.1138916015625,1030.8875122070312,0.09905842433446778,0.03301947477815593,99058.42433446778,33019.47477815593,43
45,9,12,20,9,90.0,502.1038800705467,685.2539241622575,1.6304612237975376,1.6429278632083673,500.1666666666667,681.2222222222222,506.1111111111111,687.0,6.9444444444444,6.777777777777828,979.8956298828125,923.0198296440972,0.7058032743755671,0.07842258604172968,705803.2743755671,78422.58604172968,44
46,2,12,13,2,20.0,606.8214285714286,954.6785714285714,0.1785714285714448,0.1785714285714448,606.6428571428571,954.5,607.0,954.8571428571429,1.3571428571428896,1.3571428571428896,979.9176025390625,943.2847290039062,0.19811684867074203,0.09905842433537101,198116.84867074204,99058.42433537102,45
47,11,13,24,12,120.0,1856.5594383363723,535.4660353090167,2.002203201011385,1.9269203805522126,1852.743710691824,532.6666666666667,1859.5972222222222,539.1666666666666,7.853511530398237,7.499999999999886,2080.72802734375,1456.4935080788352,6.624858987945319,0.602259907995029,6624858.987945319,602259.907995029,46
48,20,13,34,22,220.0,1910.4723699525518,643.6211089956679,3.2944015142562204,2.6771507185904073,1907.0,639.1574074074074,1918.2295081967213,649.5,12.229508196721326,11.34259259259261,1767.121337890625,1211.5584411621094,5.758129225368557,0.28790646126842784,5758129.225368557,287906.46126842784,47
49,2,13,14,2,20.0,1907.7916666666665,671.875,0.45833333333337123,0.875,1907.3333333333333,671.0,1908.25,672.75,1.9166666666667425,2.75,906.6823120117188,888.8894653320312,0.08667639787911306,0.04333819893955653,86676.39787911306,43338.19893955653,48
50,2,13,14,2,20.0,925.6,1389.2333333333333,0.6000000000000227,1.2333333333333485,925.0,1388.0,926.2,1390.4666666666667,2.2000000000000455,3.466666666666697,1175.4678955078125,1096.539306640625,0.2228818294840289,0.11144091474201445,222881.82948402892,111440.91474201446,49
51,2,13,14,2,20.0,412.8,1500.9,0.19999999999998863,0.8999999999999773,412.6,1500.0,413.0,1501.8,1.3999999999999773,2.7999999999999545,1344.720458984375,1260.1023559570312,0.07429394316134297,0.037146971580671484,74293.94316134296,37146.97158067148,50
52,2,14,15,2,20.0,932.875,74.75,1.125,0.75,931.75,74.0,934.0,75.5,3.25,2.5,942.930908203125,907.0209045410156,0.061912202221962996,0.030956101110981498,61912.202221962994,30956.101110981497,51
53,2,14,15,2,20.0,970.3125,89.6875,0.3125,1.3125,970.0,88.375,970.625,91.0,1.625,3.625,979.9095458984375,943.2907104492188,0.1114415214476725,0.05572076072383625,111441.5214476725,55720.76072383625,52
54,2,14,16,3,30.0,506.0,91.5,0.5,0.5,505.5,91.0,506.5,92.0,2.0,2.0,942.939453125,942.9364318847656,0.04952981888492692,0.02476490944246346,49529.81888492692,24764.90944246346,53
55,9,14,22,9,90.0,1562.5389256429985,454.32780875875994,2.1934896783939046,2.8684176008994937,1557.9956896551726,452.0,1564.6666666666667,460.37931034482756,7.6709770114941875,9.379310344827559,1344.6917724609375,1073.6952311197917,1.324960418055924,0.147217824228436,1324960.4180559241,147217.824228436,54
56,3,14,16,3,30.0,2022.972222222222,820.2777777777777,0.7827223779780152,1.776040818127344,2022.0,817.8333333333333,2023.9166666666665,822.0,2.916666666666515,5.1666666666667425,906.6805419921875,882.9711710611979,0.11144252077194322,0.037147506923981076,111442.52077194322,37147.50692398108,55
57,3,15,19,5,50.0,1818.1111111111113,222.52777777777774,0.8314794192831116,4.2231358660609,1817.0,216.58333333333331,1819.0,226.0,3.0,10.416666666666686,906.68408203125,882.961181640625,0.08667818240130144,0.02889272746710048,86678.18240130144,28892.72746710048,56
58,3,15,17,3,30.0,303.11111111111114,804.2222222222223,2.0608041101101455,0.6136311676215123,301.33333333333337,803.5,306.0,805.0,5.666666666666629,2.5,979.8956298828125,931.3025716145834,0.08667746856897689,0.028892489522992296,86677.46856897688,28892.489522992295,57
59,3,16,18,3,30.0,1717.0,179.5,0.816496580927726,0.408248290463863,1716.0,179.0,1718.0,180.0,3.0,2.0,942.939453125,906.89453125,0.04953031857964939,0.016510106193216464,49530.318579649385,16510.106193216463,58
60,4,16,19,4,40.0,544.6923076923076,257.9935897435898,1.2549458367811879,0.9124994933937147,542.75,256.75,546.25,259.25,4.5,3.5,1017.5677490234375,961.7708129882812,0.4953052560095045,0.12382631400237612,495305.2560095045,123826.31400237612,59
61,2,16,17,2,20.0,111.0,785.5,1.0,0.5,110.0,785.0,112.0,786.0,3.0,2.0,906.68408203125,888.9014892578125,0.0495303185561378,0.0247651592780689,49530.3185561378,24765.1592780689,60
62,2,16,17,2,20.0,572.3035714285714,1004.1473214285714,0.9464285714285552,0.2901785714285552,571.3571428571429,1003.8571428571429,573.25,1004.4375,2.8928571428571104,1.5803571428571104,1055.9771728515625,1017.9364013671875,0.3962419773824606,0.1981209886912303,396241.9773824606,198120.9886912303,61
63,4,16,19,4,40.0,939.25,1101.25,0.5590169943749475,0.4330127018922193,938.5,1101.0,940.0,1102.0,2.5,2.0,979.909423828125,916.2620544433594,0.09906099408112977,0.024765248520282442,99060.99408112977,24765.248520282443,62
64,6,16,21,6,60.0,1273.3670548622495,1871.4869825699345,0.8917275516735625,0.7590249748660468,1272.0615384615385,1870.6521739130435,1274.5454545454545,1872.8384615384616,3.4839160839160286,3.1862876254181174,1868.7943115234375,1385.6067504882812,2.0431470033918493,0.3405245005653082,2043147.0033918493,340524.5005653082,63
65,3,17,19,3,30.0,1958.9363095238095,628.4035714285714,1.7964299520333329,10.213239623422254,1957.3,615.7857142857142,1961.4375,640.8,5.1375000000000455,26.014285714285734,1216.679443359375,1083.9512939453125,0.4086280730916446,0.13620935769721487,408628.0730916446,136209.35769721487,64
66,2,17,18,2,20.0,223.5,829.5,0.5,0.5,223.0,829.0,224.0,830.0,2.0,2.0,871.1270751953125,871.1041259765625,0.02476526637657582,0.01238263318828791,24765.26637657582,12382.63318828791,65
67,6,17,22,6,60.0,933.6146783893495,1386.1107255317781,0.6190819867145423,0.9930368164035485,932.75,1385.0,934.5,1387.719298245614,2.75,3.719298245614027,2784.7109375,1468.7964477539062,1.9441086390664304,0.3240181065110717,1944108.6390664303,324018.10651107173,66
68,2,17,18,2,20.0,1652.8333333333335,1654.6666666666665,0.16666666666662877,0.33333333333337123,1652.6666666666667,1654.3333333333333,1653.0,1655.0,1.3333333333332575,1.6666666666667425,1055.9771728515625,963.5521240234375,0.04953046134630983,0.024765230673154916,49530.461346309836,24765.230673154918,67
69,3,18,20,3,30.0,1732.0,192.75,0.816496580927726,0.6123724356957945,1731.0,192.0,1733.0,193.5,3.0,2.5,942.9425048828125,895.0472412109375,0.07429637021856503,0.024765456739521675,74296.37021856503,24765.456739521676,68
70,10,18,27,10,100.0,1921.5495394249654,681.5286279339322,3.7594377903545806,7.393393864573254,1914.0,664.0,1927.25,689.25,14.25,26.25,1868.832763671875,1244.8005126953126,2.736660057734866,0.2736660057734866,2736660.0577348657,273666.00577348657,69
71,2,18,19,2,20.0,992.5124999999999,829.6458333333334,0.654166666666697,1.6875,991.8583333333332,827.9583333333334,993.1666666666666,831.3333333333334,2.308333333333394,4.375,1216.679443359375,1061.6712036132812,0.22288903916073805,0.11144451958036902,222889.03916073806,111444.51958036903,70
72,6,18,24,7,70.0,2017.7889066951568,878.2971866096865,1.1448734439222268,1.2687124255520703,2015.5,876.0,2019.0625,880.2222222222222,4.5625,5.222222222222172,1216.7335205078125,1033.478251139323,0.6439047067163364,0.1073174511193894,643904.7067163364,107317.4511193894,71
73,6,18,23,6,60.0,1972.6805555555554,1638.7430555555554,0.4472567274473697,0.6339254663709384,1972.25,1637.625,1973.5,1639.6666666666667,2.25,3.0416666666667425,1344.72314453125,1017.0055948893229,0.284804453735256,0.047467408955876,284804.453735256,47467.408955876,72
74,2,19,21,3,30.0,396.375,121.25,1.375,0.75,395.0,120.5,397.75,122.0,3.75,2.5,1095.1346435546875,983.1192626953125,0.2105067271398313,0.10525336356991565,210506.7271398313,105253.36356991564,73
75,5,19,23,5,50.0,469.8304697940479,133.18336460714553,1.6684613474587107,3.245289449718866,468.5,126.73407407407406,473.1007407407407,135.23529411764707,5.600740740740719,9.501220043573014,1525.32470703125,1309.8647216796876,1.7088300771562732,0.3417660154312546,1708830.0771562732,341766.01543125464,74
76,2,19,20,2,20.0,251.25,746.75,0.25,1.25,251.0,745.5,251.5,748.0,1.5,3.5,906.6666259765625,888.8942260742188,0.03714829215678031,0.018574146078390155,37148.29215678031,18574.146078390157,75
77,4,19,22,4,40.0,62.903147326927815,1675.3082655826558,1.4557593160711,1.5620157830359873,61.59090909090909,1672.621951219512,65.2439024390244,1676.5,4.652993348115302,4.878048780487916,1525.299560546875,1215.6370697021484,0.9410917574942914,0.23527293937357285,941091.7574942914,235272.93937357285,76
78,19,20,37,18,180.0,755.2666064436694,1296.7194208962367,8.17916046112409,3.8469219682464466,744.3333333333333,1287.0,765.1,1302.9466666666667,21.766666666666765,16.946666666666715,4580.2666015625,1842.4421675832648,8.049304358632895,0.42364759782278394,8049304.358632895,423647.5978227839,77
79,2,20,21,2,20.0,184.5,1501.5,0.5,0.5,184.0,1501.0,185.0,1502.0,2.0,2.0,871.121826171875,871.1128540039062,0.02476569467587946,0.01238284733793973,24765.694675879462,12382.847337939731,78
80,3,22,24,3,30.0,474.75,54.666666666666664,0.7359800721939872,1.8856180831641267,474.0,52.0,475.75,56.0,2.75,5.0,942.939208984375,906.9009195963541,0.16097912142022405,0.05365970714007468,160979.12142022405,53659.70714007468,79
81,4,22,25,4,40.0,509.3083333333333,85.93055555555556,4.0437451700125795,4.097834229244805,505.8333333333333,83.0,516.0,93.0,11.166666666666686,11.0,979.916259765625,934.3852233886719,0.23527813304189446,0.058819533260473615,235278.13304189447,58819.53326047362,80
82,3,22,24,3,30.0,365.83838383838383,104.32323232323233,6.05961271320682,0.7155337676131274,358.1818181818182,103.33333333333333,373.0,105.0,15.818181818181813,2.6666666666666714,979.8931884765625,931.3028157552084,0.23527677655869061,0.0784255921862302,235276.77655869062,78425.5921862302,81
