event_id,n_detections,frame_start,frame_end,total_lifetime_frames,total_lifetime_seconds,active_frames,active_seconds,duty_cycle,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_detection_area_Mm2,total_area_km2,mean_detection_area_km2,original_cluster_id
11,4,0,5,6,30.0,4,20.0,0.6666666666666666,96.5,1014.875,0.5,1.8157298807917437,96.0,1012.0,97.0,1017.0,2.0,6.0,1292.935791015625,1281.2979431152344,0.19652297709615116,0.04913074427403779,196522.97709615115,49130.74427403779,11
12,4,0,6,7,35.0,4,20.0,0.5714285714285714,1978.40625,1110.5416666666667,2.7476907918286586,0.23385358667336123,1974.875,1110.25,1981.875,1110.875,8.0,1.625,1318.7589111328125,1309.3526000976562,1.0612227926917466,0.26530569817293664,1061222.7926917465,265305.6981729366,14
13,24,0,25,26,130.0,24,120.0,0.9230769230769231,562.7275435675435,1143.6085514322278,2.0618567864957256,2.1709511166156186,558.0,1140.5,566.0,1147.9,9.0,8.400000000000091,1333.762939453125,1316.0599670410156,10.847936275746733,0.45199734482278053,10847936.275746733,451997.3448227805,15
14,14,0,24,25,125.0,14,70.0,0.56,1866.2801542207794,1394.3019205496882,2.6956887380218344,2.660469885225565,1861.15625,1390.75,1869.8636363636365,1400.15625,9.707386363636488,10.40625,1335.552490234375,1319.3633597237724,5.934981025646208,0.4239272161175863,5934981.025646209,423927.2161175863,18
15,33,0,35,36,180.0,33,165.0,0.9166666666666666,533.9171717171718,1424.139393939394,1.1943503710792112,1.974610809293501,531.5,1420.0,536.0,1427.5,5.5,8.5,1347.355224609375,1330.2355032256155,3.3015326794925373,0.10004644483310719,3301532.6794925374,100046.44483310719,21
16,44,0,45,46,230.0,44,220.0,0.9565217391304348,1363.0371250476664,1516.1156124145657,2.5877230093492596,2.951513781572666,1358.75,1509.25,1367.5,1522.9,9.75,14.650000000000091,1337.50244140625,1303.0854353471236,12.616400184066192,0.2867363678196862,12616400.184066191,286736.3678196862,23
17,40,0,49,50,250.0,40,200.0,0.8,1154.235462184874,1518.1098774509803,1.5042661929854007,2.036693040092311,1151.0,1514.25,1158.0,1523.0,8.0,9.75,1321.941162109375,1312.3198333740233,8.764820336168892,0.21912050840422231,8764820.336168893,219120.50840422232,24
18,13,0,24,25,125.0,13,65.0,0.52,1511.7692307692307,1573.4807692307693,1.8040060614705498,1.5946471108944522,1509.0,1570.0,1515.0,1576.0,7.0,7.0,1308.68212890625,1278.6487755408655,0.7860850290292545,0.0604680791560965,786085.0290292545,60468.0791560965,25
19,3,0,4,5,25.0,3,15.0,0.6,1974.5833333333333,1830.0833333333333,1.3591255358583407,1.296362432175337,1972.75,1828.25,1976.0,1831.0,4.25,3.75,1298.481689453125,1272.0493977864583,0.19652282337378704,0.06550760779126234,196522.82337378705,65507.607791262344,27
20,10,0,15,16,80.0,10,50.0,0.625,1318.705,1933.8933333333334,1.2341900177849434,1.6522409025320792,1316.0,1931.5,1320.5,1936.5,5.5,6.0,1319.825439453125,1304.0619873046876,1.3363534079482902,0.13363534079482903,1336353.4079482902,133635.34079482904,28
