event_id,num_detections,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,mean_area_px,mean_area_km2,peak_intensity,frame_start,frame_end
95,2,2,10,51.83333333333333,1054.5833333333335,2.5,98260.35481908996,1287.1112060546875,13,14
96,1,1,5,1585.8333333333333,1557.5,4.0,157216.65995260712,1163.7098388671875,13,13
97,4,4,20,1526.8125,270.0125,4.0,157216.24679161413,1315.9163818359375,14,17
98,1,1,5,1266.875,683.75,5.0,196520.63276979388,1199.02734375,14,14
99,1,1,5,486.5,268.0,2.0,78608.1762451552,1134.66455078125,15,15
100,1,1,5,1264.9,685.5,6.0,235824.5287354657,1185.6798095703125,15,15
101,1,1,5,1583.5,1561.0,2.0,78608.1762451552,1126.1619873046875,15,15
102,2,2,10,1591.5,1926.5,2.0,78608.1378100305,1135.1055908203125,15,16
103,1,1,5,1263.3,682.6,6.0,235824.2981247176,1167.108154296875,16,16
104,1,1,5,51.0,1054.5,2.0,78608.0993749058,1258.914794921875,16,16
105,1,1,5,7.5,1636.0,2.0,78608.0993749058,1154.373046875,16,16
106,1,1,5,537.75,1798.25,5.0,196520.2484372647,1150.9940185546875,16,16
107,1,1,5,381.0,221.5,2.0,78608.02250419301,1133.7432861328125,17,17
108,1,1,5,1265.1666666666667,683.3333333333334,4.0,157216.0450083861,1149.135986328125,17,17
109,3,3,15,1232.1055555555556,837.6277777777777,3.6666666666666665,144114.56700572502,1265.01123046875,17,19
110,1,1,5,50.0,1056.5,2.0,78608.02250419301,1198.9361572265625,17,17
111,1,1,5,537.9166666666667,1800.4166666666663,7.0,275128.0787646757,1203.0455322265625,17,17
112,1,1,5,533.4545454545455,62.36363636363637,11.0,432343.7010189236,1355.9954833984375,18,18
113,1,1,5,1727.5,122.0,2.0,78607.94563980431,1207.930908203125,18,18
114,1,1,5,1986.5,410.0,2.0,78607.94563980431,1132.341796875,18,18
115,1,1,5,724.5,439.0,2.0,78607.94563980431,1261.916259765625,18,18
116,1,1,5,1264.6666666666667,680.0,3.0,117911.9184597064,1120.989013671875,18,18
117,1,1,5,1628.5,864.5,4.0,157215.89127960862,1191.3328857421875,18,18
118,1,1,5,100.0,1169.5,2.0,78607.94563980431,1125.49169921875,18,18
119,2,2,10,531.4333333333334,1426.3666666666668,4.0,157215.83363044274,1344.6575927734375,18,19
120,3,3,15,534.8373015873016,1799.7777777777776,5.666666666666667,222722.33329335068,1216.0262451171875,18,20
121,1,1,5,538.4333333333333,63.06666666666666,12.0,471647.2126454993,1355.04150390625,19,19
122,1,1,5,379.6,223.4,5.0,196519.6719356247,1175.902587890625,19,19
123,1,1,5,1261.75,681.5,3.0,117911.8031613748,1135.183837890625,19,19
124,1,1,5,129.66666666666666,1028.6666666666667,3.0,117911.8031613748,1275.2841796875,19,19
125,1,1,5,49.5,1057.5,2.0,78607.8687742499,1141.6942138671875,19,19
126,1,1,5,911.0,1329.5,2.0,78607.8687742499,1178.539306640625,19,19
127,2,2,10,536.775,61.28214285714286,9.5,373386.85783728235,1349.720458984375,20,21
128,1,1,5,381.0,221.0,3.0,117911.687863401,1204.496826171875,20,20
129,1,1,5,1889.0,402.5,2.0,78607.791908934,1179.0194091796875,20,20
130,1,1,5,1989.5,411.5,2.0,78607.791908934,1175.283447265625,20,20
131,1,1,5,726.0,437.5,2.0,78607.791908934,1181.02001953125,20,20
132,1,1,5,1255.6,683.6,5.0,196519.479772335,1155.5426025390625,20,20
133,1,1,5,1631.0,862.0,2.0,78607.791908934,1130.61962890625,20,20
134,1,1,5,155.5,900.0,2.0,78607.791908934,1136.0428466796875,20,20
135,7,7,35,50.8,1054.3833333333334,4.142857142857143,162829.87708067932,1299.5096435546875,20,26
136,7,7,35,913.4761904761906,1327.797619047619,3.2857142857142856,129140.93870041869,1232.6912841796875,20,26
137,7,7,35,532.7690476190477,1423.752380952381,5.142857142857143,202133.6248006916,1345.71435546875,20,26
138,1,1,5,494.25,1671.5,3.0,117911.687863401,1167.1123046875,20,20
139,1,1,5,382.6666666666667,222.83333333333331,4.0,157215.4300877138,1137.314697265625,21,21
140,3,3,15,1889.0,400.8333333333333,2.0,78607.63818167239,1261.390625,21,23
141,2,2,10,353.25,968.25,2.0,78607.676613427,1164.6834716796875,21,22
142,1,1,5,1581.5,1564.5,2.0,78607.7150438569,1125.068603515625,21,21
143,3,3,15,534.4837797619048,1798.856994047619,16.333333333333332,641962.2631906023,1311.38427734375,21,23
144,4,4,20,534.1666666666667,59.94166666666666,5.0,196518.85525925472,1350.91845703125,22,25
145,1,1,5,308.5,95.5,2.0,78607.63818299709,1149.638916015625,22,22
146,1,1,5,380.5,220.75,5.0,196519.09545749292,1175.399169921875,22,22
147,1,1,5,1261.0,685.5,2.0,78607.63818299709,1114.9844970703125,22,22
148,1,1,5,491.0,1675.6666666666667,3.0,117911.4572744957,1127.02490234375,22,22
149,1,1,5,1410.5,1833.0,2.0,78607.63818299709,1171.1175537109375,22,22
150,1,1,5,726.0,437.5,2.0,78607.56131816319,1122.7430419921875,23,23
151,1,1,5,1261.3333333333333,682.0,3.0,117911.3419772448,1147.2939453125,23,23
152,1,1,5,5.0,1637.5,2.0,78607.56131816319,1151.6226806640625,23,23
153,3,3,15,1212.3333333333333,2021.111111111111,2.3333333333333335,91708.71905887163,1335.3822021484375,23,25
154,3,3,15,380.56111111111113,220.46666666666667,4.333333333333333,170316.01137211025,1195.15576171875,24,26
155,1,1,5,98.0,1158.0,2.0,78607.48445005731,1188.311767578125,24,24
156,1,1,5,1433.5,1647.0,2.0,78607.48445005731,1129.624755859375,24,24
157,1,1,5,490.5,1672.0,2.0,78607.48445005731,1134.735107421875,24,24
158,2,2,10,1061.75,1730.875,2.5,98259.29792922585,1180.372314453125,24,25
159,2,2,10,534.3611111111111,1797.3194444444443,16.0,628859.5874337298,1294.541748046875,24,25
160,1,1,5,488.0,275.25,4.0,157214.8152111926,1217.60546875,25,25
161,1,1,5,1988.5,408.5,2.0,78607.4076055963,1166.3839111328125,25,25
162,3,3,15,349.2188888888889,964.9722222222223,5.333333333333333,209619.47178810055,1166.869140625,25,27
163,1,1,5,100.33333333333331,1163.8333333333333,4.0,157214.8152111926,1141.55322265625,25,25
164,1,1,5,660.5,1174.0,2.0,78607.4076055963,1161.33984375,25,25
165,2,2,10,5.0,1636.75,2.0,78607.3691744735,1207.59521484375,25,26
166,1,1,5,451.6666666666667,1754.6666666666667,3.0,117911.1114083944,1219.529541015625,25,25
167,1,1,5,533.5,61.0,4.0,157214.6614867014,1206.8192138671875,26,26
168,1,1,5,608.0,268.5,2.0,78607.3307433507,1153.4249267578125,26,26
169,1,1,5,1059.5,1734.5,2.0,78607.3307433507,1180.385009765625,26,26
170,2,2,10,534.43125,1799.44375,10.0,393036.44234816486,1317.455810546875,26,27
171,1,1,5,1213.6666666666667,2022.3333333333333,3.0,117910.996115026,1329.2628173828125,26,26
172,5,5,25,1541.0,128.6,2.4,94328.50482007086,1293.16845703125,27,31
173,4,4,20,380.5729166666667,224.45833333333331,5.75,225995.64353985884,1188.03564453125,27,30
174,1,1,5,606.5,271.0,2.0,78607.2538820457,1151.9700927734375,27,27
175,1,1,5,487.5,279.0,4.0,157214.50776409148,1171.86962890625,27,27
176,1,1,5,1988.0,412.5,2.0,78607.2538820457,1182.35791015625,27,27
177,7,7,35,1217.7380952380952,844.7619047619048,3.2857142857142856,129140.08773895216,1322.862060546875,27,33
178,7,7,35,51.78809523809524,1057.9880952380954,5.0,196517.5747110833,1300.7435302734375,27,33
179,7,7,35,660.5619047619048,1178.2547619047618,3.142857142857143,123525.26192911628,1303.315185546875,27,33
180,1,1,5,912.2,1330.4,5.0,196518.13470511432,1182.7681884765625,27,27
181,5,5,25,533.8,1427.02,3.6,141492.8494595159,1347.355224609375,27,31
182,1,1,5,226.5,1434.75,3.0,117910.8808230686,1274.67529296875,27,27
183,1,1,5,489.25,1677.25,3.0,117910.8808230686,1147.200439453125,27,27
184,1,1,5,1213.6,2024.4,5.0,196518.13470511432,1333.5533447265625,27,27
185,1,1,5,534.0,63.5,2.0,78607.1770160664,1117.7962646484375,28,28
186,3,3,15,486.7175925925926,275.13888888888886,5.666666666666667,222720.1683531889,1232.183837890625,28,30
187,5,5,25,609.25,272.1,2.4,94328.42795863969,1211.56103515625,28,32
188,3,3,15,349.5833333333333,968.0,3.3333333333333335,131011.85921714072,1173.814208984375,28,30
189,2,2,10,4.666666666666666,1640.9166666666665,2.5,98258.93283931815,1184.9842529296875,28,29
190,1,1,5,1058.6666666666667,1738.0,3.0,117910.7655240996,1158.808837890625,28,28
191,2,2,10,536.6736111111111,1801.4791666666665,11.0,432339.22378839384,1185.26416015625,28,29
192,4,4,20,1211.25,2024.2291666666665,6.25,245647.10152632842,1345.1029052734375,28,31
193,3,3,15,563.3333333333334,65.22222222222223,2.3333333333333335,91708.20665834362,1162.21826171875,29,31
194,4,4,20,1892.0583333333334,397.575,5.25,206343.2440078836,1317.320556640625,29,32
195,1,1,5,1989.5,413.5,2.0,78607.1001545367,1192.640625,29,29
196,1,1,5,1264.0,683.0,2.0,78607.1001545367,1117.0042724609375,29,29
197,3,3,15,224.83333333333334,1436.5,2.6666666666666665,104809.36440074739,1211.2484130859375,29,31
198,1,1,5,63.0,1499.5,2.0,78607.1001545367,1212.5654296875,29,29
199,1,1,5,1588.5,1935.0,2.0,78607.1001545367,1204.8028564453125,29,29
200,1,1,5,1271.5,677.0,2.0,78607.0233044796,1119.354248046875,30,30
201,4,4,20,1060.6999999999998,1735.6999999999998,4.0,157213.81600969026,1287.5462646484375,30,33
202,1,1,5,535.0,1801.3333333333333,5.0,196517.5582611991,1197.463134765625,30,30
203,5,5,25,488.3666666666667,278.25,5.4,212238.34799049568,1212.781494140625,31,35
204,3,3,15,35.333333333333336,291.0,2.3333333333333335,91708.01449990505,1347.124755859375,31,33
205,3,3,15,1989.4444444444443,413.0555555555556,2.3333333333333335,91708.02731054772,1163.9769287109375,31,33
206,1,1,5,100.5,1164.5,2.0,78606.9464387462,1123.124267578125,31,31
207,1,1,5,5.0,1639.5,2.0,78606.9464387462,1133.533935546875,31,31
208,1,1,5,538.5,1802.5,2.0,78606.9464387462,1122.229736328125,31,31
209,1,1,5,352.5,969.5,2.0,78606.86957488989,1154.1314697265625,32,32
210,2,2,10,1765.25,1349.75,2.0,78606.83113676195,1209.8927001953125,32,33
211,2,2,10,1214.2,2025.6333333333332,4.0,157213.64305446006,1334.703125,32,33
212,1,1,5,1890.0384615384612,400.8461538461538,14.0,550247.5488904386,1308.5963134765625,33,33
213,1,1,5,896.3333333333334,478.6666666666667,3.0,117910.1890479511,1161.296875,33,33
214,1,1,5,533.5,1427.0,2.0,78606.792698634,1186.944580078125,33,33
215,1,1,5,466.0,376.5,2.0,78606.7158382976,1196.1390380859375,34,34
216,2,2,10,1892.2395833333333,398.48958333333337,10.5,412685.123647533,1306.4884033203125,34,35
217,2,2,10,1990.4166666666665,409.41666666666663,3.5,137561.695072651,1172.966064453125,34,35
218,3,3,15,1219.0777777777778,842.2111111111111,4.0,157213.3035818585,1326.39013671875,34,36
219,1,1,5,51.5,1056.25,4.0,157213.4316765953,1150.1800537109375,34,34
220,2,2,10,661.0,1175.5,3.0,117910.01611307659,1300.837646484375,34,35
221,2,2,10,1766.2083333333335,1346.9583333333335,3.5,137561.695072651,1304.72705078125,34,35
222,2,2,10,1062.75,1732.0,4.0,157213.35481743538,1279.66796875,34,35
223,2,2,10,453.33333333333337,1756.0833333333335,2.5,98258.33715350216,1301.388916015625,34,35
224,1,1,5,37.5,288.0,2.0,78606.6389791377,1281.9007568359375,35,35
225,1,1,5,462.0,383.0,6.0,235819.9169374133,1210.563232421875,35,35
226,1,1,5,900.0,478.0,2.0,78606.6389791377,1153.50439453125,35,35
227,1,1,5,193.5,1103.25,3.0,117909.9584687067,1286.97265625,35,35
228,1,1,5,99.5,1153.5,2.0,78606.6389791377,1126.21533203125,35,35
229,1,1,5,535.5,1424.5,2.0,78606.6389791377,1299.9005126953125,35,35
230,1,1,5,1216.5,2023.0,2.0,78606.6389791377,1290.0323486328125,35,35
231,1,1,5,487.037037037037,274.3703703703704,11.0,432336.0917023714,1221.789306640625,36,36
232,1,1,5,465.4,377.3,10.0,393032.8106385194,1310.639404296875,36,36
233,1,1,5,1892.4375,400.875,9.0,353729.5295746675,1313.013916015625,36,36
234,1,1,5,1991.0,412.5,2.0,78606.56212770389,1168.9749755859375,36,36
235,1,1,5,1883.3333333333333,792.3333333333334,3.0,117909.8431915558,1223.06787109375,36,36
236,3,3,15,191.37777777777774,1107.5,5.0,196516.2003521621,1252.1441650390625,36,38
237,1,1,5,1766.4,1348.8,5.0,196516.4053192597,1300.045166015625,36,36
238,1,1,5,1062.8,1733.6,5.0,196516.4053192597,1194.99072265625,36,36
239,1,1,5,453.0,1757.6666666666667,3.0,117909.8431915558,1296.0267333984375,36,36
240,1,1,5,486.1,283.55,12.0,471638.9115902452,1250.31494140625,37,37
241,1,1,5,464.4285714285714,379.7142857142857,7.0,275122.698427643,1318.9852294921875,37,37
242,1,1,5,1890.7708333333333,403.9791666666667,18.0,707458.3673853676,1323.2369384765625,37,37
243,2,2,10,1988.208333333333,415.375,5.0,196516.1362999437,1163.882568359375,37,38
244,2,2,10,1883.0324675324678,794.6558441558442,9.0,353728.9723203731,1322.090087890625,37,38
245,1,1,5,1217.3333333333333,846.3333333333334,3.0,117909.7278975612,1320.3837890625,37,37
246,1,1,5,99.0,1167.0,2.0,78606.4852650408,1127.9390869140625,37,37
247,2,2,10,1764.7142857142856,1350.7857142857142,7.0,275122.5639179907,1312.27197265625,37,38
248,2,2,10,857.9166666666667,1364.25,2.5,98258.0681499718,1229.6998291015625,37,38
249,2,2,10,1060.175,1736.4,4.5,176864.51498368345,1309.1112060546875,37,38
250,2,2,10,450.7,1760.5,5.0,196516.11708427905,1312.076171875,37,38
251,2,2,10,486.15625,280.5480769230769,15.0,589547.7555307436,1284.950439453125,38,39
252,1,1,5,1890.0,401.55555555555554,27.0,1061186.5134321623,1324.2567138671875,38,38
253,1,1,5,1121.0,733.5,2.0,78606.4084023824,1243.5606689453125,38,38
254,1,1,5,97.5,1165.5,2.0,78606.4084023824,1145.14208984375,38,38
255,1,1,5,464.0,376.5,2.0,78606.33153060121,1166.27001953125,39,39
256,11,11,55,1893.3308206390036,396.79590752218246,23.818181818181817,936125.567294151,1327.7100830078125,39,49
257,1,1,5,1988.5,412.75,4.0,157212.6630612025,1161.3345947265625,39,39
258,1,1,5,898.0,480.5,2.0,78606.33153060121,1146.580810546875,39,39
259,2,2,10,191.25,1104.25,4.5,176864.1690842462,1278.6561279296875,39,40
260,1,1,5,476.0,1122.5,2.0,78606.33153060121,1230.14208984375,39,39
261,1,1,5,1765.0,1347.5,8.0,314425.32612240507,1305.0927734375,39,39
262,1,1,5,1060.5,1733.5,2.0,78606.33153060121,1164.0123291015625,39,39
263,1,1,5,450.2,1757.6,5.0,196515.82882650322,1305.696533203125,39,39
264,1,1,5,488.5,274.2352941176471,18.0,707456.2920389517,1325.8433837890625,40,40
265,1,1,5,464.5,374.5,2.0,78606.25467099459,1146.623779296875,40,40
266,2,2,10,1989.2222222222222,410.1527777777778,4.5,176863.957722792,1198.3642578125,40,41
267,2,2,10,898.1166666666667,476.525,6.5,255470.21239378664,1169.1060791015625,40,41
268,6,6,30,1125.0777777777778,728.4499999999999,4.166666666666667,163762.62064966795,1331.58837890625,40,45
269,5,5,25,1220.7,840.4,3.0,117909.16680151325,1325.896484375,40,44
270,7,7,35,1768.404365079365,1344.9428004535148,7.0,275121.1502070859,1306.3526611328125,40,46
271,10,10,50,453.02288961038965,1755.9069155844159,7.3,286911.4230461155,1316.198974609375,40,49
272,1,1,5,488.1136363636364,266.7386363636364,25.0,982577.2226628836,1328.87939453125,41,41
273,5,5,25,480.1333333333334,1119.6666666666665,2.2,86466.63418904829,1310.38232421875,41,45
274,1,1,5,5.0,1635.5,2.0,78606.17781303069,1138.4462890625,41,41
275,1,1,5,486.3333333333333,258.0,3.0,117909.1514301498,1130.911865234375,42,42
276,1,1,5,489.1724137931034,277.9655172413793,29.0,1139788.4638247823,1327.9879150390625,42,42
277,4,4,20,468.0,375.58333333333337,3.0,117908.97849581033,1314.341064453125,42,45
278,3,3,15,1993.361111111111,410.9583333333333,4.666666666666667,183414.1074586146,1176.0772705078125,42,44
279,3,3,15,901.3463227513226,476.7772883597884,13.0,510939.1309896023,1217.168212890625,42,44
280,8,8,40,227.1375,1431.6312500000001,4.0,157211.68311453165,1292.848388671875,42,49
281,1,1,5,7.333333333333334,1637.6666666666663,4.0,157212.20190686648,1149.65576171875,42,42
282,2,2,10,488.78170289855075,265.92632850241546,27.0,1061180.7872482073,1338.4005126953125,43,44
283,1,1,5,193.0,1110.0,2.0,78606.0240936064,1142.1824951171875,43,43
284,1,1,5,105.66666666666669,1158.6666666666667,3.0,117909.03614040959,1142.3897705078125,43,43
285,1,1,5,1425.0,648.5,2.0,78605.94723425219,1146.8446044921875,44,44
286,2,2,10,358.5,877.25,2.0,78605.90880422729,1253.812744140625,44,45
287,6,6,30,352.36111111111114,970.2222222222223,3.3333333333333335,131009.59822797397,1226.074951171875,44,49
288,6,6,30,7.361111111111112,1636.9166666666667,2.8333333333333335,111358.17546470762,1199.5262451171875,44,49
289,3,3,15,488.141029657477,262.89860066833756,25.666666666666668,1008774.3629606203,1314.6644287109375,45,47
290,2,2,10,901.6044337606838,475.27964743589746,17.5,687801.0583387639,1242.6552734375,45,46
