event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_Mm2,peak_intensity
69,2,31.333333333333336,481.70833333333337,2,10,4.0,0.15721642935307278,1236.08251953125
70,1,32.5,480.5,1,5,2.0,0.0786074076055963,1177.642333984375
71,3,28.0,483.5833333333333,3,15,2.3333333333333335,0.09170793763308883,1208.2728271484375
72,13,31.436172161172163,481.13644688644683,13,65,7.384615384615385,0.2902371840302456,1343.5054931640625
73,6,1225.611111111111,670.3333333333334,6,30,4.0,0.15721760789866643,1316.475830078125
74,2,1638.75,1182.5,2,10,2.0,0.07860898330557495,1205.846435546875
75,1,1637.875,1180.0,1,5,5.0,0.1965219778439111,1235.380615234375
76,6,1639.7458333333334,1179.5833333333333,6,30,4.5,0.17686911391262464,1271.124267578125
77,1,1638.5,1180.0,1,5,2.0,0.0786080993749058,1186.0101318359375
78,3,1049.1333333333334,1439.45,3,15,4.333333333333333,0.1703193805550883,1333.22900390625
79,5,1049.3,1438.75,5,25,5.4,0.21224298281393753,1342.6246337890625
80,13,1729.5056776556776,118.48113553113552,13,65,4.923076923076923,0.19349784443286613,1317.677490234375
81,1,446.5,473.0,1,5,2.0,0.0786089448722985,1193.21044921875
82,6,448.0972222222222,470.7777777777778,6,30,3.1666666666666665,0.1244591154326286,1249.623291015625
83,1,1651.5,757.5,1,5,2.0,0.0786089448722985,1190.17236328125
84,1,1650.5,754.5,1,5,2.0,0.0786087142714914,1183.2982177734375
85,2,1658.25,778.75,2,10,2.0,0.0786073691744735,1218.2554931640625
86,1,564.5,460.0,1,5,2.0,0.0786088680034078,1188.1490478515625
87,1,564.5,458.0,1,5,2.0,0.0786087142714914,1229.78466796875
88,6,564.6579365079365,458.4342592592593,6,30,5.333333333333333,0.20962222605690264,1340.8819580078125
89,10,563.0564285714286,459.8420238095238,10,50,5.8,0.22796186634768628,1340.5631103515625
90,3,687.2222222222223,472.25,3,15,3.3333333333333335,0.1310146518958259,1331.05419921875
91,1,1518.9,1576.5666666666666,1,5,12.0,0.4716532080204469,1305.5848388671875
92,4,1512.6476190476192,1570.952976190476,4,20,5.5,0.2161733877747074,1295.6768798828125
93,8,1511.3541666666667,1573.528125,8,40,4.375,0.1719551212988445,1308.68212890625
94,2,1510.375,1572.75,2,10,2.5,0.09825941321365106,1299.5859375
95,2,998.0,685.0,2,10,2.0,0.0786087527045279,1233.9949951171875
96,12,1000.3368596681097,686.7672123015873,12,60,8.833333333333334,0.34718581066119114,1278.4727783203125
97,1,997.0,683.75,1,5,3.0,0.117911226675086,1188.240966796875
98,1,1002.0,685.5,1,5,2.0,0.0786072538820457,1199.898193359375
99,1,491.5,267.25,1,5,3.0,0.1179129561102412,1231.7681884765625
100,2,489.41666666666663,268.66666666666663,2,10,2.5,0.09826056617059326,1221.391845703125
101,1,488.5,275.0,1,5,2.0,0.0786074076055963,1217.60546875
102,2,487.45833333333337,278.625,2,10,3.0,0.11791070787795235,1232.183837890625
103,1,488.25,277.75,1,5,3.0,0.1179101890479511,1212.781494140625
104,15,488.45050161015075,276.52154754764405,15,75,10.933333333333334,0.4297129983442328,1338.4005126953125
105,7,1631.3928571428569,859.6530612244898,7,35,5.285714285714286,0.20775048751435055,1315.496826171875
106,1,1628.5,864.5,1,5,2.0,0.0786079456398043,1191.3328857421875
107,4,1363.95,585.7,4,20,3.5,0.13756460626633463,1323.6697998046875
108,3,1131.4444444444443,1703.611111111111,3,15,3.0,0.11791259742732392,1326.0966796875
109,2,1234.1666666666665,835.5833333333333,2,10,2.5,0.09826045089099969,1314.9298095703125
110,4,1233.75,837.125,4,20,2.5,0.09826008578474105,1309.833984375
111,10,1218.1066666666668,844.2466666666667,10,50,3.1,0.12184056712777847,1326.39013671875
112,5,1220.7333333333331,840.4333333333334,5,25,2.8,0.1100485567061699,1325.896484375
113,3,965.7955555555554,674.1344444444444,3,15,9.333333333333334,0.3668384120227441,1278.8206787109375
114,2,958.8333333333334,679.5,2,10,3.0,0.117911976107998,1218.8096923828125
115,26,963.0496794871794,679.0592948717949,22,110,4.8076923076923075,0.18895916991476872,1286.9747314453125
116,7,961.8690476190476,681.8333333333333,7,35,3.4285714285714284,0.13475276144708753,1282.620361328125
117,1,52.0,1054.5,1,5,2.0,0.0786083299763035,1203.3809814453125
118,1,51.0,1054.5,1,5,2.0,0.0786080993749058,1258.914794921875
119,13,50.88461538461539,1056.4423076923078,13,65,3.3076923076923075,0.1300043429217625,1300.7435302734375
120,2,1156.8333333333335,1805.4166666666665,2,10,2.5,0.09826037403618645,1286.2708740234375
121,1,1701.5,319.0,1,5,2.0,0.0786082531079176,1202.1878662109375
122,1,430.0,338.0,1,5,2.0,0.0786082531079176,1193.946044921875
123,2,901.7666666666667,1741.6583333333333,2,10,6.0,0.23582470167668101,1318.085205078125
124,27,333.14472015436417,1972.953353802141,27,135,35.888888888888886,1.4105712561752228,1329.769287109375
125,7,334.0643690877024,1966.7343001443003,7,35,11.714285714285714,0.4604045660767554,1321.2197265625
126,1,1270.5,685.5,1,5,2.0,0.0786081762451552,1185.6798095703125
127,5,994.6166666666666,1081.2166666666667,5,25,3.2,0.1257728129513767,1321.034423828125
128,1,995.5,1080.5,1,5,2.0,0.0786076381829971,1192.2886962890625
129,6,993.3194444444445,1082.4722222222222,6,30,3.5,0.13756259821511213,1309.81396484375
130,3,974.5555555555557,1086.9444444444446,3,15,2.6666666666666665,0.10480904412676251,1312.240966796875
131,14,967.4092574092574,1085.2559496059496,14,70,11.714285714285714,0.46040668513302946,1321.806884765625
132,1,518.5,337.5,1,5,2.0,0.0786080993749058,1206.791748046875
133,2,516.5,341.0,2,10,2.0,0.07860759975058015,1235.0567626953125
134,1,516.5,340.0,1,5,2.0,0.0786073307433507,1214.419677734375
135,1,250.0,434.5,1,5,2.0,0.078608022504193,1223.0816650390625
136,4,249.1875,436.4166666666667,4,20,2.5,0.09825970145477281,1196.3248291015625
137,2,248.41666666666666,436.0,2,10,2.5,0.09825920186031115,1213.3203125
138,2,249.75,441.75,2,10,2.0,0.07860667740871766,1220.266845703125
139,4,249.0,439.4375,4,20,2.75,0.10808366743147664,1254.0843505859375
140,7,252.46904761904761,437.2702380952381,7,35,6.857142857142857,0.26950543506016184,1280.2403564453125
141,1,535.0,1800.5,1,5,2.0,0.0786079456398043,1216.0262451171875
142,8,535.4449404761905,1799.3690476190475,8,40,5.5,0.21617058226463917,1317.455810546875
143,1,535.5,1802.5,1,5,2.0,0.0786070233044796,1197.463134765625
144,1,1564.25,1303.5,1,5,4.0,0.1572157375484998,1230.0618896484375
145,1,109.98643410852712,1049.5968992248063,1,5,48.0,1.886583316391932,1313.3544921875
146,1,106.46747967479672,1047.7204155374886,1,5,52.0,2.043792597745504,1312.352294921875
147,1,109.38,1050.1799999999998,1,5,26.0,1.021890303703701,1302.7459716796875
148,1,111.5,1048.75,1,5,3.0,0.1179089208513783,1304.65478515625
149,4,109.77083333333334,1044.2916666666665,4,20,3.25,0.12773425115327863,1301.512451171875
150,1,913.5,1328.0,1,5,2.0,0.0786076381829971,1232.6912841796875
151,1,451.5,1755.0,1,5,2.0,0.0786074076055963,1219.529541015625
152,13,452.5457875457875,1756.668131868132,13,65,4.846153846153846,0.19046823608134403,1316.198974609375
153,1,381.0,221.5,1,5,2.0,0.0786073307433507,1195.15576171875
154,4,1541.0,128.625,4,20,2.5,0.09825889441540203,1293.16845703125
155,1,660.0,1177.5,1,5,2.0,0.0786072538820457,1194.974609375
156,7,660.7142857142857,1177.5714285714287,7,35,2.5714285714285716,0.10106596417982065,1303.315185546875
157,3,662.2777777777778,1173.1944444444443,3,15,3.6666666666666665,0.14411032684921052,1305.80712890625
158,1,224.0,1435.5,1,5,2.0,0.0786072538820457,1274.67529296875
159,1,224.5,1437.0,1,5,2.0,0.0786071001545367,1211.2484130859375
160,4,227.85416666666666,1431.9583333333335,4,20,3.0,0.11790883438423483,1292.848388671875
161,1,226.0,1430.5,1,5,2.0,0.0786056398092871,1242.9241943359375
162,1,999.5,1833.5,1,5,2.0,0.0786071770160664,1222.16162109375
163,1,632.5,98.0,1,5,4.0,0.1572142003090735,1297.3935546875
164,1,1588.5,1935.0,1,5,2.0,0.0786071001545367,1204.8028564453125
165,1,1591.0,1919.75,1,5,6.0,0.2358166888955036,1324.544921875
166,20,1892.6207607705037,397.7946472653967,20,100,13.55,0.5325566683405657,1327.7100830078125
167,1,35.5,291.0,1,5,2.0,0.0786068695748899,1347.124755859375
168,1,1014.5,641.375,1,5,5.0,0.1965171739372249,1205.05322265625
169,1,1015.0,642.5,1,5,2.0,0.0786064852650408,1186.427734375
